service_date,day_type,bus,rail_boardings,total_rides
8/5/02,W,941406,569627,1511033
8/6/02,W,955681,592722,1548403
8/7/02,W,940727,585313,1526040
8/8/02,W,945096,589840,1534936
8/9/02,W,968109,592938,1561047
8/10/02,A,667701,340015,1007716
8/11/02,U,437332,230526,667858
8/12/02,W,908503,579800,1488303
8/13/02,W,871791,578996,1450787
8/14/02,W,893558,586107,1479665
8/15/02,W,920323,599375,1519698
8/16/02,W,903666,592393,1496059
8/17/02,A,644076,340569,984645
8/18/02,U,490868,285298,776166
8/19/02,W,847798,545503,1393301
8/20/02,W,918696,586734,1505430
8/21/02,W,904673,572717,1477390
8/22/02,W,829797,533893,1363690
8/23/02,W,903292,570031,1473323
8/24/02,A,625725,308392,934117
8/25/02,U,441076,227484,668560
8/26/02,W,920546,572967,1493513
8/27/02,W,923644,596884,1520528
8/28/02,W,922170,590348,1512518
8/29/02,W,808555,532322,1340877
8/30/02,W,987793,608056,1595849
8/31/02,A,666152,345777,1011929
9/1/02,U,477226,257229,734455
9/2/02,U,381482,201136,582618
9/3/02,W,1106907,625970,1732877
9/4/02,W,1087925,634665,1722590
9/5/02,W,1083538,634950,1718488
9/6/02,W,1082951,634809,1717760
9/7/02,A,643335,318886,962221
9/8/02,U,439942,218716,658658
9/9/02,W,1071206,630453,1701659
9/10/02,W,1050992,640278,1691270
9/11/02,W,1045640,631554,1677194
9/12/02,W,1059762,645114,1704876
9/13/02,W,1064345,655102,1719447
9/14/02,A,642689,327322,970011
9/15/02,U,421429,221310,642739
9/16/02,W,1049667,617848,1667515
9/17/02,W,1064546,644444,1708990
9/18/02,W,1039162,643763,1682925
9/19/02,W,1038608,640884,1679492
9/20/02,W,1019280,626196,1645476
9/21/02,A,674983,330553,1005536
9/22/02,U,416973,215142,632115
9/23/02,W,1055515,637798,1693313
9/24/02,W,1055580,664958,1720538
9/25/02,W,1064437,666345,1730782
9/26/02,W,1057421,662347,1719768
9/27/02,W,1058970,651373,1710343
9/28/02,A,632188,338847,971035
9/29/02,U,421618,232441,654059
9/30/02,W,1048696,634065,1682761
10/1/02,W,1098830,653561,1752391
10/2/02,W,1059836,648879,1708715
10/3/02,W,1100107,655905,1756012
10/4/02,W,1024955,626723,1651678
10/5/02,A,672805,338207,1011012
10/6/02,U,423210,223075,646285
10/7/02,W,1086922,641838,1728760
10/8/02,W,1074824,650758,1725582
10/9/02,W,1064324,648974,1713298
10/10/02,W,1072954,655002,1727956
10/11/02,W,1074197,658585,1732782
10/12/02,A,612527,332781,945308
10/13/02,U,407917,323103,731020
10/14/02,W,806818,542057,1348875
10/15/02,W,1068455,653527,1721982
10/16/02,W,1036205,645880,1682085
10/17/02,W,1030300,645590,1675890
10/18/02,W,1059316,643043,1702359
10/19/02,A,654965,333538,988503
10/20/02,U,424767,222167,646934
10/21/02,W,1057968,632256,1690224
10/22/02,W,1047657,645112,1692769
10/23/02,W,1013066,635553,1648619
10/24/02,W,1014798,642039,1656837
10/25/02,W,1022926,632981,1655907
10/26/02,A,626185,331030,957215
10/27/02,U,413385,217556,630941
10/28/02,W,1041265,628314,1669579
10/29/02,W,1025525,636398,1661923
10/30/02,W,1036745,639993,1676738
10/31/02,W,1000155,635297,1635452
11/1/02,W,1069031,628183,1697214
11/2/02,A,647400,313106,960506
11/3/02,U,418620,211506,630126
11/4/02,W,1072235,633872,1706107
11/5/02,W,994530,613203,1607733
11/6/02,W,1045767,644971,1690738
11/7/02,W,1065889,664817,1730706
11/8/02,W,995294,646927,1642221
11/9/02,A,630142,329264,959406
11/10/02,U,419858,220134,639992
11/11/02,W,780558,519021,1299579
11/12/02,W,1029700,637242,1666942
11/13/02,W,1035982,635224,1671206
11/14/02,W,956533,625010,1581543
11/15/02,W,1042694,630267,1672961
11/16/02,A,600110,314114,914224
11/17/02,U,393692,204651,598343
11/18/02,W,1018831,619368,1638199
11/19/02,W,1058349,638719,1697068
11/20/02,W,1033748,630680,1664428
11/21/02,W,983825,621257,1605082
11/22/02,W,1030889,618981,1649870
11/23/02,A,631388,353053,984441
11/24/02,U,393321,202257,595578
11/25/02,W,992101,602628,1594729
11/26/02,W,959679,611673,1571352
11/27/02,W,946620,584367,1530987
11/28/02,U,297477,145995,443472
11/29/02,W,676405,367260,1043665
11/30/02,A,525319,255100,780419
12/1/02,U,362192,187150,549342
12/2/02,W,966808,598780,1565588
12/3/02,W,1007666,622071,1629737
12/4/02,W,1003459,610601,1614060
12/5/02,W,1005218,607822,1613040
12/6/02,W,1018401,602004,1620405
12/7/02,A,627855,318034,945889
12/8/02,U,396717,202070,598787
12/9/02,W,994622,575116,1569738
12/10/02,W,1030456,601656,1632112
12/11/02,W,1021640,603601,1625241
12/12/02,W,1015667,602683,1618350
12/13/02,W,1020480,600852,1621332
12/14/02,A,653848,325639,979487
12/15/02,U,435253,216394,651647
12/16/02,W,1003932,577286,1581218
12/17/02,W,985528,583328,1568856
12/18/02,W,939870,571921,1511791
12/19/02,W,1020038,590493,1610531
12/20/02,W,984913,565925,1550838
12/21/02,A,614025,284719,898744
12/22/02,U,404210,194323,598533
12/23/02,W,827316,467245,1294561
12/24/02,W,621673,319916,941589
12/25/02,U,237547,96846,334393
12/26/02,W,661076,372317,1033393
12/27/02,W,744896,424575,1169471
12/28/02,A,528087,236606,764693
12/29/02,U,380197,181081,561278
12/30/02,W,773707,469806,1243513
12/31/02,W,792623,456865,1249488
1/1/03,U,325478,169985,495463
1/2/03,W,757781,484840,1242621
1/3/03,W,861580,515985,1377565
1/4/03,A,570941,255217,826158
1/5/03,U,377813,177159,554972
1/6/03,W,982617,574868,1557485
1/7/03,W,982542,580676,1563218
1/8/03,W,1011812,592758,1604570
1/9/03,W,979678,586435,1566113
1/10/03,W,963808,567691,1531499
1/11/03,A,506478,250051,756529
1/12/03,U,346918,171467,518385
1/13/03,W,973653,585781,1559434
1/14/03,W,940805,594400,1535205
1/15/03,W,928578,583104,1511682
1/16/03,W,945280,591915,1537195
1/17/03,W,973358,584772,1558130
1/18/03,A,512435,261058,773493
1/19/03,U,327279,172937,500216
1/20/03,W,604089,375958,980047
1/21/03,W,954156,590827,1544983
1/22/03,W,912033,572491,1484524
1/23/03,W,822317,541015,1363332
1/24/03,W,893501,546353,1439854
1/25/03,A,547944,259287,807231
1/26/03,U,335046,168783,503829
1/27/03,W,922033,564295,1486328
1/28/03,W,952120,598146,1550266
1/29/03,W,970605,594588,1565193
1/30/03,W,993731,601060,1594791
1/31/03,W,929004,577555,1506559
2/1/03,A,639705,291226,930931
2/2/03,U,415598,192294,607892
2/3/03,W,1039918,596186,1636104
2/4/03,W,980582,597044,1577626
2/5/03,W,961776,585552,1547328
2/6/03,W,981973,596888,1578861
2/7/03,W,953979,573249,1527228
2/8/03,A,563430,270521,833951
2/9/03,U,367964,180861,548825
2/10/03,W,948507,584120,1532627
